complaint_id,created_at,channel,citizen_comment,complaint_category,department,district,village,sentiment,urgency_level,priority_score,status,response_time_hours,resolution_time_days,sla_met,engagement_score,year,month,month_name,quarter,day_of_week,is_resolved,sla_met_flag,is_critical,priority_bucket
CMP-04708,2024-01-01 03:40:36,Call Center,Tempat pembuangan di Dadaprejo sudah penuh.,Waste Management,Dinas Lingkungan Hidup,Junrejo,Dadaprejo,Negative,Medium,63,Resolved,30.33,3.23,No,3877,2024,1,January,1,Monday,1,0,0,Medium
CMP-07774,2024-01-01 03:43:25,Call Center,Aspal rusak parah di daerah Temas dan belum diperbaiki.,Road Infrastructure,Dinas PUPR,Batu,Temas,Negative,Low,37,Resolved,101.39,10.42,No,845,2024,1,January,1,Monday,1,0,0,Low
CMP-01189,2024-01-01 06:35:30,LAPOR!,Air PDAM di Mojorejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Bumiaji,Mojorejo,Neutral,Medium,42,Open,24.42,,No,1187,2024,1,January,1,Monday,0,0,0,Medium
CMP-01853,2024-01-01 10:09:18,Website,Genangan air sering terjadi di Dadaprejo saat hujan.,Flooding,Dinas PUPR,Junrejo,Dadaprejo,Neutral,High,80,In Progress,16.67,,No,4440,2024,1,January,1,Monday,0,0,0,High
CMP-07824,2024-01-01 14:43:25,TikTok,Lampu jalan rusak di kawasan Gunungsari.,Street Lighting,Dinas Perhubungan,Junrejo,Gunungsari,Negative,Medium,44,Resolved,11.35,8.32,Yes,1780,2024,1,January,1,Monday,1,1,0,Medium
CMP-01839,2024-01-01 15:17:41,LAPOR!,Genangan air sering terjadi di Ngaglik saat hujan.,Flooding,Dinas PUPR,Batu,Ngaglik,Negative,Low,29,In Progress,88.61,,No,4172,2024,1,January,1,Monday,0,0,0,Low
CMP-09608,2024-01-01 16:29:47,LAPOR!,Antrian pelayanan di Ngaglik sangat panjang.,Administrative Services,Dinas Kependudukan,Batu,Ngaglik,Negative,Low,12,Resolved,50.39,13.7,Yes,124,2024,1,January,1,Monday,1,1,0,Low
CMP-03636,2024-01-01 18:49:05,TikTok,Tempat pembuangan di Songgokerto sudah penuh.,Waste Management,Dinas Lingkungan Hidup,Bumiaji,Songgokerto,Negative,High,72,Resolved,23.81,4.58,No,3953,2024,1,January,1,Monday,1,0,0,High
CMP-04765,2024-01-01 19:24:28,Call Center,Jalan di wilayah Temas berlubang dan membahayakan pengguna.,Road Infrastructure,Dinas PUPR,Bumiaji,Temas,Negative,Medium,67,In Progress,14.43,,Yes,2276,2024,1,January,1,Monday,0,1,0,Medium
CMP-00256,2024-01-01 20:15:00,WhatsApp,Tempat pembuangan di Songgokerto sudah penuh.,Waste Management,Dinas Lingkungan Hidup,Bumiaji,Songgokerto,Negative,Medium,40,Open,21.74,,Yes,997,2024,1,January,1,Monday,0,1,0,Medium
CMP-02173,2024-01-01 20:18:52,WhatsApp,Distribusi air di Dadaprejo sering terhenti.,Clean Water,PDAM,Junrejo,Dadaprejo,Negative,High,71,Resolved,23.33,3.12,No,4355,2024,1,January,1,Monday,1,0,0,High
CMP-08406,2024-01-01 21:30:03,LAPOR!,Parkir liar di Ngaglik mengganggu akses jalan.,Illegal Parking,Dinas Perhubungan,Bumiaji,Ngaglik,Negative,Medium,69,Resolved,44.33,5.1,No,335,2024,1,January,1,Monday,1,0,0,Medium
CMP-01899,2024-01-01 22:47:15,WhatsApp,Aspal rusak parah di daerah Sisir dan belum diperbaiki.,Road Infrastructure,Dinas PUPR,Bumiaji,Sisir,Negative,Medium,53,Open,42.29,,No,849,2024,1,January,1,Monday,0,0,0,Medium
CMP-09615,2024-01-02 05:16:56,LAPOR!,Lampu jalan rusak di kawasan Tulungrejo.,Street Lighting,Dinas Perhubungan,Junrejo,Tulungrejo,Negative,Medium,59,Resolved,14.77,6.93,Yes,2172,2024,1,January,1,Tuesday,1,1,0,Medium
CMP-09769,2024-01-02 10:02:29,WhatsApp,Pedagang kaki lima di Punten mengganggu ketertiban.,Public Safety,Satpol PP,Junrejo,Punten,Neutral,Medium,46,Resolved,40.65,2.98,No,259,2024,1,January,1,Tuesday,1,0,0,Medium
CMP-08951,2024-01-02 10:45:34,Website,Air PDAM di Gunungsari keruh dan tidak layak digunakan.,Clean Water,PDAM,Junrejo,Gunungsari,Negative,High,83,Open,5.56,,Yes,4733,2024,1,January,1,Tuesday,0,1,0,High
CMP-00350,2024-01-02 16:57:14,Instagram,Banjir kecil mengganggu aktivitas warga di Punten.,Flooding,Dinas PUPR,Bumiaji,Punten,Negative,Low,38,In Progress,37.48,,Yes,3362,2024,1,January,1,Tuesday,0,1,0,Low
CMP-06869,2024-01-02 18:54:11,Website,Lampu jalan rusak di kawasan Dadaprejo.,Street Lighting,Dinas Perhubungan,Junrejo,Dadaprejo,Neutral,High,71,Open,12.68,,No,4701,2024,1,January,1,Tuesday,0,0,0,High
CMP-01792,2024-01-02 19:11:19,Website,Ketertiban umum di Songgokerto perlu ditingkatkan.,Public Safety,Satpol PP,Bumiaji,Songgokerto,Negative,Low,32,In Progress,52.64,,Yes,2134,2024,1,January,1,Tuesday,0,1,0,Low
CMP-02557,2024-01-02 23:07:10,TikTok,Aspal rusak parah di daerah Dadaprejo dan belum diperbaiki.,Road Infrastructure,Dinas PUPR,Junrejo,Dadaprejo,Neutral,Low,35,Resolved,90.91,13.32,No,4983,2024,1,January,1,Tuesday,1,0,0,Low
CMP-00103,2024-01-03 04:51:30,Instagram,Drainase di Ngaglik tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Batu,Ngaglik,Neutral,Low,37,Open,25.43,,Yes,1959,2024,1,January,1,Wednesday,0,1,0,Low
CMP-08383,2024-01-03 04:58:39,WhatsApp,Akses WiFi publik di Mojorejo tidak dapat digunakan.,Public WiFi,DISKOMINFO,Batu,Mojorejo,Negative,Medium,52,Open,41.55,,No,2693,2024,1,January,1,Wednesday,0,0,0,Medium
CMP-07130,2024-01-03 05:19:30,WhatsApp,Tekanan air di Beji sangat kecil.,Clean Water,PDAM,Junrejo,Beji,Negative,Medium,59,In Progress,40.95,,No,4552,2024,1,January,1,Wednesday,0,0,0,Medium
CMP-01981,2024-01-03 10:32:19,Instagram,Distribusi air di Songgokerto sering terhenti.,Clean Water,PDAM,Batu,Songgokerto,Negative,High,74,In Progress,20.05,,No,4804,2024,1,January,1,Wednesday,0,0,0,High
CMP-02048,2024-01-03 11:53:34,Website,Drainase di Sisir tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Bumiaji,Sisir,Negative,Medium,63,Resolved,14.98,5.13,Yes,2291,2024,1,January,1,Wednesday,1,1,0,Medium
CMP-06568,2024-01-03 12:57:05,LAPOR!,Fasilitas wisata di Mojorejo perlu ditingkatkan.,Tourism Services,Dinas Pariwisata,Junrejo,Mojorejo,Negative,High,74,In Progress,11.19,,No,3742,2024,1,January,1,Wednesday,0,0,0,High
CMP-03463,2024-01-03 13:37:33,Call Center,Akses WiFi publik di Dadaprejo tidak dapat digunakan.,Public WiFi,DISKOMINFO,Bumiaji,Dadaprejo,Negative,Medium,44,Resolved,30.49,3.6,No,534,2024,1,January,1,Wednesday,1,0,0,Medium
CMP-03962,2024-01-03 13:49:37,TikTok,Aspal rusak parah di daerah Mojorejo dan belum diperbaiki.,Road Infrastructure,Dinas PUPR,Junrejo,Mojorejo,Negative,Low,26,Resolved,99.95,12.32,No,1989,2024,1,January,1,Wednesday,1,0,0,Low
CMP-01933,2024-01-03 14:36:37,Website,Pedagang kaki lima di Dadaprejo mengganggu ketertiban.,Public Safety,Satpol PP,Junrejo,Dadaprejo,Negative,Low,35,Open,79.65,,No,766,2024,1,January,1,Wednesday,0,0,0,Low
CMP-09775,2024-01-03 16:14:24,LAPOR!,Parkir liar di kawasan Beji menyebabkan kemacetan.,Illegal Parking,Dinas Perhubungan,Junrejo,Beji,Negative,Medium,56,Resolved,11.2,3.84,Yes,1213,2024,1,January,1,Wednesday,1,1,0,Medium
CMP-06112,2024-01-03 21:43:46,Instagram,Banjir kecil mengganggu aktivitas warga di Tulungrejo.,Flooding,Dinas PUPR,Batu,Tulungrejo,Negative,High,75,Resolved,18.3,5.4,No,4151,2024,1,January,1,Wednesday,1,0,0,High
CMP-04097,2024-01-03 22:50:58,Instagram,Lampu jalan rusak di kawasan Temas.,Street Lighting,Dinas Perhubungan,Junrejo,Temas,Negative,Medium,42,In Progress,28.43,,No,2003,2024,1,January,1,Wednesday,0,0,0,Medium
CMP-01268,2024-01-03 23:36:14,TikTok,Lampu jalan di Sisir mati sejak beberapa hari lalu.,Street Lighting,Dinas Perhubungan,Junrejo,Sisir,Negative,Medium,60,Resolved,27.04,3.58,No,4067,2024,1,January,1,Wednesday,1,0,0,Medium
CMP-07631,2024-01-04 00:44:00,WhatsApp,Pelayanan administrasi di Sisir terlalu lama.,Administrative Services,Dinas Kependudukan,Batu,Sisir,Negative,Medium,58,Resolved,32.21,8.27,No,3600,2024,1,January,1,Thursday,1,0,0,Medium
CMP-05109,2024-01-04 00:55:19,Call Center,Air PDAM di Dadaprejo keruh dan tidak layak digunakan.,Clean Water,PDAM,Junrejo,Dadaprejo,Negative,Medium,48,Resolved,11.28,2.4,Yes,1294,2024,1,January,1,Thursday,1,1,0,Medium
CMP-07917,2024-01-04 01:56:40,Website,Fasilitas wisata di Punten perlu ditingkatkan.,Tourism Services,Dinas Pariwisata,Batu,Punten,Negative,Medium,41,Resolved,13.47,5.65,Yes,4081,2024,1,January,1,Thursday,1,1,0,Medium
CMP-01316,2024-01-04 03:19:13,Instagram,Lampu jalan rusak di kawasan Ngaglik.,Street Lighting,Dinas Perhubungan,Junrejo,Ngaglik,Negative,Medium,43,In Progress,41.46,,No,3068,2024,1,January,1,Thursday,0,0,0,Medium
CMP-07813,2024-01-04 04:44:48,Instagram,Ketertiban umum di Temas perlu ditingkatkan.,Public Safety,Satpol PP,Batu,Temas,Negative,High,75,Open,17.53,,No,1103,2024,1,January,1,Thursday,0,0,0,High
CMP-02340,2024-01-04 08:09:59,WhatsApp,Drainase di Ngaglik tidak berfungsi dengan baik.,Flooding,Dinas PUPR,Batu,Ngaglik,Negative,High,84,Open,18.59,,No,3532,2024,1,January,1,Thursday,0,0,0,High
CMP-04544,2024-01-04 09:30:48,WhatsApp,Jalan di wilayah Gunungsari berlubang dan membahayakan pengguna.,Road Infrastructure,Dinas PUPR,Junrejo,Gunungsari,Neutral,Low,24,In Progress,88.75,,No,3661,2024,1,January,1,Thursday,0,0,0,Low
CMP-03896,2024-01-04 09:42:21,Call Center,Jalan di wilayah Gunungsari berlubang dan membahayakan pengguna.,Road Infrastructure,Dinas PUPR,Batu,Gunungsari,Neutral,Medium,50,Resolved,21.14,5.86,Yes,4451,2024,1,January,1,Thursday,1,1,0,Medium
